,period,minute,location,under_pressure,player_name,pattern_of_play,team,player_position,statsbomb_xg,technique,body_part,tipe,first_time,goal,location_x,location_y,distance,angle
4603,1,38,"[104.5, 45.2]",0.0,Lauren James,Regular Play,Manchester United,Center Forward,0.11317831,Normal,Left Foot,Open Play,0,0,104.5,45.2,16.349006085998013,0.4583969310901435
4604,1,38,"[103.7, 45.3]",0.0,Lauren James,Regular Play,Manchester United,Center Forward,0.04481258,Normal,Left Foot,Open Play,0,0,103.7,45.3,17.14001166860746,0.4388990330581082
4605,2,46,"[107.0, 40.5]",0.0,Courtney Sweetman-Kirk,From Free Kick,Liverpool WFC,Center Forward,0.11611363,Normal,Left Foot,Open Play,0,0,107.0,40.5,13.009611831257688,0.5962390327925923
4606,2,54,"[89.9, 46.5]",0.0,Lauren James,From Free Kick,Manchester United,Left Center Forward,0.04142112,Normal,Right Foot,Free Kick,0,0,89.9,46.5,30.7938305509399,0.2527722703156603
4607,2,60,"[99.5, 58.5]",0.0,Katie Zelem,From Free Kick,Manchester United,Right Center Midfield,0.03446245,Normal,Right Foot,Free Kick,0,0,99.5,58.5,27.613402542968153,0.21625640531934073
4608,2,60,"[117.0, 54.7]",0.0,Ella Toone,From Corner,Manchester United,Left Center Midfield,0.04133219,Normal,Right Foot,Open Play,0,0,117.0,54.7,15.002999700059988,0.11428296021419491
4609,2,63,"[111.5, 48.1]",0.0,Leah Galton,From Counter,Manchester United,Left Midfield,0.18163092,Normal,Right Foot,Open Play,0,0,111.5,48.1,11.741379816699569,0.5089777566032933
4610,2,68,"[103.7, 34.4]",1.0,Leah Galton,From Throw In,Manchester United,Left Midfield,0.08173081,Normal,Right Foot,Open Play,0,0,103.7,34.4,17.235138525698012,0.4344140622577058
4611,2,68,"[93.3, 47.6]",1.0,Amy Turner,From Throw In,Manchester United,Right Back,0.024707131,Half Volley,Right Foot,Open Play,1,0,93.3,47.6,27.76058356735319,0.27583020389089324
4612,2,70,"[111.1, 43.4]",0.0,Lauren James,From Free Kick,Manchester United,Left Center Forward,0.45022228,Normal,Left Foot,Open Play,0,1,111.1,43.4,9.527329111561125,0.7609459577503467
4613,2,75,"[84.8, 23.0]",0.0,Leigh-Anne Robe,Regular Play,Manchester United,Left Back,0.008048911,Normal,Right Foot,Open Play,0,0,84.8,23.0,39.09015221254581,0.18412897613560797
