,period,minute,location,under_pressure,player_name,pattern_of_play,team,player_position,statsbomb_xg,technique,body_part,tipe,outcome,first_time
1638,1,36,"[110.5, 49.8]",,Stine Larsen,From Throw In,Aston Villa,Center Forward,0.14277057,Normal,Right Foot,Open Play,Blocked,False
1639,1,41,"[114.4, 36.3]",,Amalie Vevle Eikeland,Regular Play,Reading WFC,Right Midfield,0.28649586,Normal,Head,Open Play,Off T,False
1640,1,43,"[91.5, 50.4]",,Bethan Roberts,From Throw In,Reading WFC,Right Back,0.018899862,Normal,Right Foot,Open Play,Saved Off Target,False
1641,1,46,"[93.5, 47.1]",,Angharad James,Other,Reading WFC,Left Defensive Midfield,0.030121783000000003,Normal,Right Foot,Open Play,Off T,True
1642,1,47,"[109.7, 23.6]",,Natasha Harding,Regular Play,Reading WFC,Right Center Forward,0.037044007000000004,Normal,Right Foot,Open Play,Blocked,False
1643,1,47,"[103.9, 46.3]",,Rachel Rowe,Regular Play,Reading WFC,Left Midfield,0.070861064,Half Volley,Left Foot,Open Play,Saved,True
1644,2,46,"[95.3, 41.9]",,Angharad James,From Throw In,Reading WFC,Left Defensive Midfield,0.027568722,Normal,Right Foot,Open Play,Saved,True
1645,2,47,"[116.9, 47.4]",,Rachel Rowe,Regular Play,Reading WFC,Left Midfield,0.09419343000000001,Volley,Right Foot,Open Play,Off T,False
1646,2,54,"[113.8, 41.3]",,Mana Iwabuchi,From Free Kick,Aston Villa,Right Wing,0.59935886,Normal,Left Foot,Open Play,Goal,True
1647,2,56,"[113.2, 50.7]",,Rachel Rowe,From Throw In,Reading WFC,Right Midfield,0.09236394,Normal,Right Foot,Open Play,Goal,False
1648,2,58,"[107.6, 28.0]",,Danielle Carter,Regular Play,Reading WFC,Left Center Forward,0.051595180000000004,Normal,Right Foot,Open Play,Off T,True
1649,2,60,"[109.2, 31.8]",,Danielle Carter,From Counter,Reading WFC,Left Center Forward,0.27144468,Normal,Right Foot,Open Play,Saved,True
1650,2,60,"[108.6, 31.5]",,Amalie Vevle Eikeland,From Counter,Reading WFC,Left Midfield,0.28422913,Normal,Left Foot,Open Play,Saved,True
1651,2,64,"[103.4, 47.0]",,Stine Larsen,From Free Kick,Aston Villa,Center Forward,0.040995333,Normal,Left Foot,Open Play,Blocked,False
1652,2,64,"[93.4, 43.9]",,Emily Syme,From Free Kick,Aston Villa,Left Center Midfield,0.015479546,Normal,Left Foot,Open Play,Blocked,False
1653,2,69,"[101.6, 31.0]",,Emma Follis,Regular Play,Aston Villa,Left Wing,0.03996374,Normal,Right Foot,Open Play,Blocked,False
1654,2,69,"[92.0, 30.3]",,Marisa Ewers,Regular Play,Aston Villa,Center Defensive Midfield,0.012968201,Normal,Left Foot,Open Play,Blocked,True
1655,2,90,"[115.1, 36.8]",,Diana Micaela Abreu de Sousa e Silva,From Throw In,Aston Villa,Right Back,0.34840503,Normal,Right Foot,Open Play,Goal,True
1656,2,91,"[96.8, 54.7]",,Danielle Carter,From Kick Off,Reading WFC,Left Center Forward,0.015697977000000002,Normal,Right Foot,Open Play,Blocked,False
1657,2,91,"[111.3, 52.3]",,Amalie Vevle Eikeland,From Kick Off,Reading WFC,Left Midfield,0.042330235,Normal,Right Foot,Open Play,Blocked,False
1658,2,91,"[97.2, 32.2]",,Jessica Fishlock,From Corner,Reading WFC,Right Defensive Midfield,0.03952433,Normal,Right Foot,Open Play,Off T,True
1659,2,92,"[104.4, 33.5]",1.0,Shania Hayles,From Goal Kick,Aston Villa,Left Wing,0.28332508,Normal,Left Foot,Open Play,Wayward,False
1660,2,93,"[109.9, 54.6]",,Amalie Vevle Eikeland,Regular Play,Reading WFC,Left Midfield,0.029528549,Normal,Right Foot,Open Play,Blocked,True
1661,2,93,"[104.3, 35.9]",,Molly Bartrip,From Corner,Reading WFC,Left Center Back,0.052984513000000004,Normal,Right Foot,Open Play,Off T,True
1662,1,4,"[109.6, 31.6]",,Lauren Bruton,From Free Kick,Reading WFC,Left Center Forward,0.08557239,Volley,Right Foot,Open Play,Goal,True
1663,1,14,"[109.9, 47.2]",1.0,Vivianne Miedema,Regular Play,Arsenal WFC,Center Forward,0.112305366,Normal,Right Foot,Open Play,Blocked,False
